"addon_game_name"	"英雄之路"
"DOTA_HUD_Contest_rule"  "<font color=\"#5bc0de\">排行榜详细说明</font>：<br><font color=\"#f0ad4e\">类型</font>：排行榜分竞速与无尽两个类型，仅第七第八个难度可以开启。<br><br><font color=\"#f0ad4e\">上传成绩条件</font>：完成所有关卡（竞速）/有成功击杀的迷雾守卫（无尽）时记录成绩。同一支队伍只取最好成绩。另外竞速挑战的时间从进入第一波时记录。（往后即使在中场休息也记录时间，但不包括暂停时间）<br>在单人情况下，孤傲者的赐福所提供的复活次数超过3时，每多一次会加一次惩罚。对于竞速+40秒，对于无尽-5个击杀。<br><br><font color=\"#f0ad4e\">排行榜奖励规则</font>：一名玩家可以同时获得两项奖励（无尽与竞速里取最高成绩），这意味着，如果你在竞速五人组里获得了第一名，在竞速四人组中获得了第三名，那么只会拿到五人组中的第一名的奖励。但你的四人组组员不会受到影响。<br>赛季结算时的排名将作为依据给予奖励。<br><br><font color=\"#f0ad4e\">赛季周期</font>：一个月<br><font color=\"#f0ad4e\">结算时间</font>：每个月最后一天的凌晨4点，奖励将发放至个人信息中的奖励查询中<br><font color=\"#d9534f\">注意：每个月最后一天为内卷休息日，将不会记录比赛数据</font><br><br><font color=\"#f0ad4e\">具体奖励梯队</font>：<br>Top1：1000白金；15万可靠经验；2500黄金；神秘奖励1；<br>Top2-3：600白金；12万可靠经验；1500黄金；神秘奖励2；<br>Top4-10：300白金；10万可靠经验；1000黄金；神秘奖励3；<br>前5%%：200白金；8万可靠经验；500黄；<br>前10%%：100白金；5W可靠经验；300黄金；<br>前20%%：3W可靠经验；200黄金；<br>前50%%：2W可靠经验：100黄金；<br>前80%%：1W可靠经验；50黄金；<br>其他：5000可靠经验<br><br>神秘奖励会在次月1-3号发放。"
"skills_shop_Text"                   "Spell Shop"
"MyUIButtonText"                   "技能商店"
"MyUIMain_title"                   "选择你的技能"
"MytestButton2"                   "调试"
"MytestButton1"                   "调试"
"skills_shop_hotkey"                   "技能商店"
"DOTA_HUD_Spells_Menu_Spell_Cost"                   "花费金币"
"DOTA_HUD_Spells_Menu_Spell_Cost_return"                   "返还金币"
"DOTA_HUD_Challenge_Cost_return"                   "难度奖励金币"
"DOTA_HUD_Spells_Menu_Title"                   "技能商店"
"DOTA_HUD_Spells_Menu_Card_Points"                   "当前金币"
"DOTA_HUD_Spells_Menu_Open_Button"                   "打开技能商店(F7)"

"DOTA_HUD_Game_Shop_state_1"                   "等待选择难度"
"DOTA_HUD_Game_Shop_state_2"                   "建议先学习技能(F7)，商店第二回合开启"


"DOTA_HUD_Spells_Menu_Upgrade_Button"                   "技能升阶"
"DOTA_HUD_Spells_Menu_Sell_Button"                   "技能出售"
"DOTA_HUD_Spells_Menu_Close_Button"                   "关闭技能商店"
"DOTA_HUD_Spells_Menu_Swap_Spells_Button"                   "切换技能位置"
"DOTA_HUD_Spells_Menu_buy_ability_points"                   "购买技能点"
"DOTA_HUD_Spells_Menu_Not_Enough_Slot"                   "技能槽不足"
"DOTA_HUD_Spells_Menu_Description"                   "你可以选中指定的图标以打开技能列表"
"DOTA_HUD_Spells_Menu_Attention"                   "出售技能可以返还花费的一半金币，当技能升满级后可以升阶。"
"Spells_Menu_Insufficient_CP"                   "金币不足"
"Spells_Menu_unknow_error"                   "查询不到您的数据，请截图给作者"
"Spells_Menu_PurchaseNewAbility"                   "  {s:player_name}学习了新技能：<font color=\"#f0ad4e\">{s:ability_name}</font>"
"Spells_Menu_SellNeutralAbility"                   "  {s:player_name}遗忘了技能：<font color=\"#f0ad4e\">{s:ability_name}</font>，返还了<font color=\"#f0ad4e\">{s:locstring_value}</font>金币"
"Spells_Menu_SellAbility"                   "  遗忘技能成功2"
"Spells_Upgrade_Fail"                   " 技能升阶失败，你可能未解锁此高阶技能"
"Spells_Upgrade_Fail_advanced"                   " 技能升级失败，技能图鉴中此技能的高阶技能等级不足"
"Spells_Upgrade_Fail_left"                   " {s:player_name}升阶技能<font color=\"#f0ad4e\">{s:ability_name}</font>失败，你可能未解锁此高阶技能"
"Spells_Upgrade_Fail_advanced_left"                   " {s:player_name}升级技能<font color=\"#f0ad4e\">{s:ability_name}</font>失败，技能图鉴中此技能的高阶技能等级不足"
"Spells_Menu_UpgradeNewAbility"                   "{s:player_name}升阶了技能：<font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_Spells_Menu_Not_Sell"                   "您已经有这个技能类了"
"Spells_Menu_UpgradeNewAbility_advanced"                   "{s:player_name}升级了技能：<font color=\"#f0ad4e\">{s:ability_name}</font>，当前等级：<font color=\"#f0ad4e\">{s:locstring_value}</font>"
"DOTA_HUD_Spells_Menu_level"                   "技能等级"
"DOTA_HUD_difficulty_select"                   "模式及难度选择"
"DOTA_HUD_settind_title"                   "扩展设置"
"DOTA_HUD_Challenge_button"                   "苦难试炼(F8)"
"DOTA_HUD_settind_Camera"                   "镜头高度"
"DOTA_HUD_difficulty_not_selected_info"                   "需要玩家1先选择难度才能开始游戏"
"DOTA_HUD_Getexp_Button"                  "升级技能"
"DOTA_HUD_DropSelectTitle"                   "选择你的道具奖励"
"DOTA_HUD_MysterySelectTitle"                   "选择你想解锁奥义的技能"
"DOTA_HUD_PhysicalSpells_Button"                   "物理技能"
"DOTA_HUD_MagicalSpells_Button"                   "魔法技能"
"DOTA_HUD_DefenseSpells_Button"                   "防御技能"
"DOTA_HUD_SummonSpells_Button"                   "召唤技能"
"DOTA_HUD_AssistSpells_Button"                   "辅助技能"
"DOTA_HUD_OtherSpells_Button"                   "其他技能"
"DOTA_HUD_Spellsinfo_exp"                   "可靠经验："
"DOTA_HUD_Spellsinfo_level_now"                   "等级"
"DOTA_HUD_playerSpellslibraryMenuwindowTitle"                   "阶级类技能图鉴"
"DOTA_HUD_SpellsShopMenuwindowTitle"   "技能商店"
"DOTA_HUD_GameShopMenuwindowTitle"   "商店"
"DOTA_HUD_ChaoticEraGameShopMenuwindowTitle"   "乱纪元商店"
"DOTA_HUD_GeneralGoods_Button" "一般"
"DOTA_HUD_playerGameShopMenuwindowTitle"  "游戏商城"
"DOTA_HUD_VIPGoods_Button"        "特权商品"

"DOTA_Tooltip_modifier_hd_endless_tired"	"无尽计时"
"DOTA_Tooltip_modifier_hd_endless_tired_Description"	"15分钟后开始减少属性，20分钟时强制结束<br><br>全属性降低：%dMODIFIER_PROPERTY_TOOLTIP%<br>伤害降低：%dMODIFIER_PROPERTY_TOOLTIP%%%<br>受伤增加：%dMODIFIER_PROPERTY_TOOLTIP%%%<br>精通降低：%dMODIFIER_PROPERTY_TOOLTIP%%%<br>冷却延长：%dMODIFIER_PROPERTY_TOOLTIP%%%"


"cant_buyback_disabled"        "目标无法被复活"
"Already_buyback"        "目标已经处于复活中"
"cant_buyback_dead"        "死了就别想复活别人了"   
"cant_buyback_too_far"        "超过目标500码距离"   
"cant_buyback_buying"        "正在复活一个目标"   
"cant_buyback_target_weak"        "目标虚弱"   
"DOTA_HUD_CheckPay" "检验支付"
"DOTA_CUSTOM_LoginSuccess_buySpell"                   "数据刷新成功"
"DOTA_CUSTOM_Success_buySpell"                   "购买成功，等待刷新数据"
"DOTA_CUSTOM_Fail_buySpell"                   "购买失败,可能服务器不稳定，五秒后再次尝试，如果重复失败请退出游戏稍后再试"
"DOTA_CUSTOM_LoginFailed_buySpell"                   "服务器信息传输失败，当前服务器可能不稳定，5秒后再次尝试刷新数据，如仍然无法成功刷新请退出游戏。"
"DOTA_HUD_Payment_Title"  "支付宝为扫码支付"
"DOTA_HUD_Payment_INFO"   "系统每隔一段时间将自动检测支付是否完成，支付完成后窗口将自动关闭(伴随提示音与标题提示)，随后请重新点一下商店查看白金是否刷新。如果没有刷新，或者没有提示购买成功则请重新开游戏。如果还是没有那么请联系作者！<br>注意：<br>1.订单过期时间为5分钟，订单完成前/过期前无法购买其他商品。<br>2.使用Paypal交易时，由于我需要付出高额的固定手续费，你需要选择10美元以上的订单，请谅解。<br>3.不提供退款渠道，请付费前仔细考虑。"
"DOTA_HUD_Payment_Title2"  "选择支付方式"
"DOTA_HUD_SpecialSpellGoods_Button" "特殊技能"
"DOTA_HUD_BlackMarket_Button"  "每日黑市"
"DOTA_HUD_OtherGoods_Button"  "其他"
"DOTA_HUD_BuyBack_Button"                   "献"

"DOTA_HUD_Spellsinfo_exp_Currency"  "可靠经验"
"DOTA_HUD_Spellsinfo_gold_Currency"  "黄金"
"DOTA_HUD_Spellsinfo_Platinum_Currency"  "白金"
"DOTA_HUD_Spellsinfo_Yuan_Currency"  "￥"
"DOTA_HUD_Confirm_Panel"  "你是否确认要购买此物品"
"DOTA_HUD_Confirm"  "确认"
"DOTA_HUD_Cancle"  "取消"
"DOTA_HUD_CDK_GET_BONUS"  "领取CDK奖励"
"DOTA_HUD_CDK_Fail_250"  "无效CDK"
"DOTA_HUD_CDK_Fail_251"  "尼玛你都领过了"
"DOTA_HUD_CDK_Fail_252"  "此CDK没有选中你"
"DOTA_HUD_CDK_Fail_253"  "CDK已过期"
"DOTA_HUD_CDK_Fail_254"  "你手慢了，已被领取完"
"dota_hud_greevils_not_enough_gold"  "没有足够金币"
"dota_hud_still_chaghing"  "当前世界时间正处于强制变更中"
"dota_hud_not_in_battle"  "当前并不是战斗状态"
"dota_hud_still_night"  "当前已经是黑夜"
"dota_hud_still_day"  "当前已经是白天"
"dota_hud_no_hammer"  "现在没有幻化能力"

"dota_hud_silence_cast"  "施法能力被禁用"
"dota_hud_not_enough_energy"  "没有足够能量点"
"dota_hud_not_enough_trigger"  "触发点数不足"

"DOTA_HUD_playerInfowindowTitle"  "个人信息"
"DOTA_HUD_VIPInfo_Button"        "已有特权"
"DOTA_HUD_playerName"                   "玩家名："
"DOTA_HUD_firstGameTime"                   "初次游戏时间："
"DOTA_HUD_vip_info_endday"                   "到期时间"

"DOTA_NOW_WAVE"  "当前波数："
"DOTA_HUD_DropSelectTitle_message"                   "装备奖励会产生5件装备，分别为: 物理 法术 防御 辅助  特殊 "


"Damage_Dealt"   "造成伤害:"
"Damage_Taken"   "受到伤害:"
"Damage_Healed"   "造成治疗(有效):"

"DOTA_CUSTOM_Game_Start_info_bonus"   "讯息：加入讨论群(在模组介绍中查看)，可以获得各种奖励与更新信息。（新手玩家可以赠送解锁20个技能）"
"DOTA_CUSTOM_Game_Start_info"   "准备阶段,所有玩家踩踏板后进入第一波(注意打开高光跟环境光效，否则地图会很黑)"

"DOTA_CUSTOM_Wave_Start_info1"   "回合准备……"
"DOTA_CUSTOM_Wave_Start_info2"   "回合开始"
"DOTA_CUSTOM_Wave_Start_reset"   "回合长时间没结束，可能产生了卡位BUG，已将所有怪物移至中间"

"DOTA_CUSTOM_LoginFailed"                   "<font color=\"#d9534f\">服务器信息传输失败，当前服务器可能不稳定，5秒后再次尝试登录，如仍然无法登录请退出游戏，当前游戏局不会产生结算奖励。</font>"
"DOTA_CUSTOM_LoginFailed_all"                   "<font color=\"#d9534f\">游戏失败，由于有玩家登录失败，当前游戏局不会结算奖励。</font>"

"DOTA_CUSTOM_LoginSuccess"                   "<font color=\"#d9534f\">已获取到玩家数据。</font>"
"DOTA_CUSTOM_LoginSuccess2"                   "<font color=\"#d9534f\">已获取到玩家数据2。</font>"
"DOTA_CUSTOM_fail_login_info"                   "<font color=\"#d9534f\">未能成功获取到玩家数据，请重新匹配</font>"


"DOTA_CUSTOM_PlayerGetSpellsBook"                   "获得技能书："
"DOTA_CUSTOM_BONUS_INFO_EXP"                   "当前经验值："
"DOTA_CUSTOM_BONUS_INFO_max_level"                   "技能已满级"
"DOTA_CUSTOM_BONUS_INFO_max_level_info"                   "满级的技能将自动转换为可靠经验"
"DOTA_CUSTOM_BONUS_INFO_bonus_EXP"                   "可靠经验值奖励："
"DOTA_CUSTOM_BONUS_INFO_bonus_gold"                   "黄金奖励："
"DOTA_CUSTOM_NOPlayerGetSpellsBook"                   "无技能书奖励"
"DOTA_CUSTOM_UpdateFailed"                   "<font color=\"#d9534f\">游戏结算奖励更新失败，可能服务器不稳定，5秒后将再次尝试更新，如保存失败请保存截图联系作者：</font>"
"DOTA_CUSTOM_UpdateSuccess"                   "{s:player_name}<font color=\"#d9534f\">游戏结算奖励更新成功，当前可以退出该游戏局。</font>"
"DOTA_CUSTOM_Update_wait"                   "{s:player_name}等待结算……"

"DOTA_CUSTOM_UpdateSuccess_gift"                   "<font color=\"#d9534f\">礼包领取成功</font>"
"DOTA_CUSTOM_UpdateFail_gift"                   "<font color=\"#d9534f\">礼包领取失败,可能服务器不稳定，将继续尝试领取，如果仍然失败请退出游戏</font>"
"DOTA_CUSTOM_Upgradefailed"                   "<font color=\"#d9534f\">技能升级失败，可能服务器不稳定或数据不合法，为了规避数据出错，已禁用升级选项，需要重新打开游戏</font>"
"DOTA_CUSTOM_Upgradefailed_half"                   "<font color=\"#d9534f\">技能升级成功，但是数据更新失败了，可能服务器不稳定，为了规避数据出错，已禁用升级选项，需要重新打开游戏（一般这不常发生）。</font>"

"DOTA_CUSTOM_Upgradefailed_new"                   "<font color=\"#d9534f\">技能升级失败，可能服务器不稳定，请重试</font>"




"DOTA_CUSTOM_Upgradefailed_data_error"                   "<font color=\"#d9534f\">技能升级失败，数据处理出现错误，可能这是一个已满级技能。为了规避数据出错，已禁用升级选项，需要重新打开游戏</font>"
"DOTA_CUSTOM_Upgradefailed_unknow_error"                   "<font color=\"#d9534f\">技能升级失败，发送未知错误，为了规避数据出错，已禁用升级选项，需要重新打开游戏</font>"
"DOTA_CUSTOM_UpgradeSuccess"                   "<font color=\"#5bc0de\">技 能 升 级 成 功</font>"
//无尽失败播报 joker
"DOTA_CUSTOM_ENDLESS_OVERTIME_10"                 "无尽怪已经超过50，请尽快击杀到50以下，否则游戏将在10s后结束!!"
"DOTA_CUSTOM_ENDLESS_OVERTIME_5"                  "无尽怪已经超过50，请尽快击杀到50以下，否则游戏将在5s后结束!!"


"DOTA_HUD_difficulty_select_1"                   "用脚操作"
"DOTA_HUD_difficulty_select_2"                   "常规模式：体验"
"DOTA_HUD_difficulty_select_3"                   "超级赛亚人Three"
"DOTA_HUD_difficulty_select_4"                   "常规模式：普通"
"DOTA_HUD_difficulty_select_5"                   "苦难试炼"
"DOTA_HUD_difficulty_select_6"                   "常规模式：困难"
"DOTA_HUD_difficulty_select_7"                   "常规排行榜：竞争的苦难"
"DOTA_HUD_difficulty_select_8"                   "常规排行榜：无尽的苦难"
"DOTA_HUD_difficulty_select_9"                "常规模式：百相WAVE层"

"DOTA_HUD_difficulty_select_10"                "★特殊模式：乱纪元"




"DOTA_HUD_playerChallengeMenuwindowTitle"                   "背负更多的苦难"

"DOTA_HUD_Difficulty_select_1_info"                   "在简单难度下，怪物生命值将会减少28%，初始基础攻击力减少30%,技能冷却增加35%。<br/><br/>总波数为10波"
"DOTA_HUD_difficulty_select_2_info"                   "关卡数：20<br><br>·怪物属性：较低<br>·怪物生成：较慢<br>·怪物技能：部分禁用<br>·怪物词条：关闭<br>·苦难系统：关闭"
"DOTA_HUD_difficulty_select_3_info"                   "在精英难度下，怪物生命值将会增加20%，初始基础攻击力增加20%。刷怪间隔-20%，BOSS开启精英技能。<br/><br/>总波数为20波"
"DOTA_HUD_difficulty_select_4_info"                   "关卡数：20<br><br>·怪物属性：标准<br>·怪物生成：标准<br>·怪物技能：开启<br>·怪物词条：关闭<br>·苦难系统：开启"

"DOTA_HUD_difficulty_select_5_info"                   "继承【不可能】难度，野怪获得20%增伤，15%减伤，将会获得额外词条，获得几率取自试炼难度。  单位最多叠加词条为2，BOSS或精英单位将必定获得最大词条。20%几率产生隐藏关卡"
"DOTA_HUD_difficulty_select_6_info"                   "关卡数：20~25<br><br>·怪物属性：较高<br>·怪物生成：标准<br>·怪物技能：开启<br>·怪物词条：标准<br>·苦难系统：开启<br><br>·追加关卡：可能<br>·无尽关卡：开启"
"DOTA_HUD_difficulty_select_7_info"                   "关卡数：25<br><br>·怪物属性：高<br>·怪物生成：标准<br>·怪物技能：开启<br>·怪物词条：多<br>·苦难系统：开启<br><br>·追加关卡：必定<br>·无尽关卡：关闭"
"DOTA_HUD_difficulty_select_8_info"                   "关卡数：20<br><br>·怪物属性：高<br>·怪物生成：标准<br>·怪物技能：开启<br>·怪物词条：多<br>·苦难系统：开启<br><br>·追加关卡：关闭<br>·无尽关卡：开启"
"DOTA_HUD_difficulty_select_9_info"                   "<font color=\"#f0ad4e\">层数：</font><br>将玩家1的当前层数视为游戏难度，通关后玩家层数+1，若玩家1的层数较高，则其余玩家+2。<br>基于排行榜难度，关卡数：25，无尽回合：开启；<br><br><font color=\"#f0ad4e\">特殊机制：</font><br>1.每层轮回将提升怪物5%的各项属性（攻击力，生命值）<br>2.，每8层轮回增加1相，每相将为怪物提供全体增益状态(或给英雄添加负面状态)。每1.5相全体玩家将受到一个增益状态（或给敌人添加减益状态）。每额外半相（4层）将使状态数值提升。<br>3.初始将获得（轮回层数*2+5）点自由分配的属性点<br>4.可以分别禁用一种噩相与一种利相<br><br><br><font color=\"#f0ad4e\">轮回机制：</font><br>1.每月重置轮回层数，但保留40%<br>2.每月将随机产生百相状态，给予增益与减益<br>（鉴于没有无聊的人会为了这个游戏打到那么高层数，目前只有寥寥无几的几个状态）<br><br><font color=\"#f0ad4e\">奖励机制：</font><br>1.产出阿哈利姆原石，将进入玩家的存档，可以在游戏局中取出（但仍然需要花费游戏内金币锻造，只是不需要花费可靠经验与黄金），层数越高获取的几率与数量越高。<br>2.可靠经验与黄金奖励跟随排行榜难度，然后在这个基础上*（1+轮回*0.015）。<br><br><br>额外的说明：<br>1.根据玩家数的不同，野怪的基础增益会受到影响（不包括百相状态）。1-5名玩家对应数值比例（0.5，0.6，0.7，0.85，1），例如在1名玩家的情况下，第十层怪物仅获得50%*0.5=25%的额外属性。<br>2.仅队伍内无新手玩家时才可以开启。"


"DOTA_HUD_difficulty_select_10_info"                   "在乱纪元难度下，一切都变得混乱。<br><br>特殊规则：玩家只能通过随机方式学习技能，在此模式下，玩家最多可以学习3个阶技能，其他技能槽需要学习环技能。<br><br><font color=\"#f0ad4e\">乱纪元独特奖励：</font><br>在乱纪元模式下，根据你生成的符石进度，可以[符石]，佩戴后可以强化与该符石绑定的技能的技能效果。"

"DOTA_HUD_Challenge_level"                   "苦难难度"
"DOTA_HUD_Challenge_level1"                   "简单"
"DOTA_HUD_Challenge_level2"                   "普通"
"DOTA_HUD_Challenge_level3"                   "精英"
"DOTA_HUD_Challenge_level4"                   "困难"
"DOTA_HUD_Challenge_level5"                   "不可能"


"Player_Challenge1"                   "某位玩家背负了更多的苦难，接下来的战斗将更加艰辛……"
"Player_Challenge2"                   "更多的苦难意味着更多的收获……"
"Player_Challenge3"                   "或许经历各种苦难后明天会更加美好……"
"Player_Challenge4"                   "大陆笼罩在乌云之下，更多的苦难来临了……"
"Player_Challenge5"                   "在利益面前，更多的苦难也只是一块垫脚石罢了……"

"DOTA_HUD_game_info_pre"   "移动至踏板以开始游戏"
"DOTA_HUD_game_info_ENDLESS_WAVE"   "已击杀守卫："
"DOTA_HUD_game_info_ENDLESS_WAVE_COUNT_CURRENT"  "当前守卫数量："
"DOTA_HUD_GAME_WAVE_NEXT_INFO"  "下一回合："
"DOTA_HUD_GAME_WAVE_CD_ROOM1"  "守门的奴仆"
"DOTA_HUD_GAME_WAVE_CD_ROOM2"  "哥布林前卫军团"
"DOTA_HUD_GAME_WAVE_CD_ROOM3"  "熊怪五色军团"
"DOTA_HUD_GAME_WAVE_CD_ROOM4"  "丛林中的蜘蛛"
"DOTA_HUD_GAME_WAVE_CD_ROOM5"  "精英·巴尔诺克之子"
"DOTA_HUD_GAME_WAVE_CD_ROOM6"  "中阶的奴仆们"
"DOTA_HUD_GAME_WAVE_CD_ROOM7"  "狗头人一家"
"DOTA_HUD_GAME_WAVE_CD_ROOM8"  "雷肤兽复仇军团"
"DOTA_HUD_GAME_WAVE_CD_ROOM9"  "艾欧的烦恼"
"DOTA_HUD_GAME_WAVE_CD_ROOM10"  "序幕的守门者·巴尔诺克"
"DOTA_HUD_GAME_WAVE_CD_ROOM911"  "黑夜关卡·暗夜中的刺客"
"DOTA_HUD_GAME_WAVE_CD_ROOM912"  "黑夜关卡·暗夜骑士"
"DOTA_HUD_GAME_WAVE_CD_ROOM913"  "黑夜关卡·树林中的长者"
"DOTA_HUD_GAME_WAVE_CD_ROOM914"  "黑夜关卡·月光下的狼群"
"DOTA_HUD_GAME_WAVE_CD_ROOM15"  "精英·法尔纳之女"
"DOTA_HUD_GAME_WAVE_CD_ROOM916"  "黑夜关卡·自然的巫师"
"DOTA_HUD_GAME_WAVE_CD_ROOM917"  "黑夜关卡·万年树精长老"
"DOTA_HUD_GAME_WAVE_CD_ROOM918"  "黑夜关卡·远古的石头"
"DOTA_HUD_GAME_WAVE_CD_ROOM19"  "黑夜关卡·斧王的锻炼"
"DOTA_HUD_GAME_WAVE_CD_ROOM920"  "大自然的次女·法尔纳"
"DOTA_HUD_GAME_WAVE_CD_ROOM21"  "元素们的躁动·水"
"DOTA_HUD_GAME_WAVE_CD_ROOM22"  "元素们的躁动·火"
"DOTA_HUD_GAME_WAVE_CD_ROOM23"  "元素们的躁动·风"
"DOTA_HUD_GAME_WAVE_CD_ROOM24"  "元素们的躁动·暗"
"DOTA_HUD_GAME_WAVE_CD_ROOM25"  "精英·光与暗之子·梅尔隆德"
"DOTA_HUD_GAME_WAVE_CD_ROOM26"  "元素们的躁动·土"
"DOTA_HUD_GAME_WAVE_CD_ROOM27"  "元素们的躁动·雷"
"DOTA_HUD_GAME_WAVE_CD_ROOM28"  "元素们的躁动·冰"
"DOTA_HUD_GAME_WAVE_CD_ROOM29"  "自然的馈赠"
"DOTA_HUD_GAME_WAVE_CD_ROOM30"  "隐藏关卡·最终战·元素之争"
"DOTA_HUD_GAME_WAVE_CD_ROOM31"  "崩坏者·马格纳斯"
"DOTA_HUD_GAME_WAVE_CD_ROOM32"  "被驱逐的无名脑虫成体"
"DOTA_HUD_GAME_WAVE_CD_ROOM33"  "迷雾自动守卫者"
"DOTA_HUD_GAME_WAVE_CD_ROOM34"  "隐藏关卡·被腐化的中阶近战爪牙"
"DOTA_HUD_GAME_WAVE_CD_ROOM35"  "隐藏关卡·晶体化盗贼大军"
"DOTA_HUD_GAME_WAVE_CD_ROOM36"  "隐藏关卡·晶体化的五色军团头领"
"DOTA_HUD_GAME_WAVE_CD_ROOM37"  "隐藏关卡·过去的亡魂"
"DOTA_HUD_playerGameBonusMenuwindow"  "游戏结算"
"no_spell_map"  "未能获取到玩家信息，可能服务器不稳定，请稍后再试"
"DOTA_HUD_GAME_WAVE_CD_ROOM38"  "隐藏关卡·火焰本源"
"DOTA_HUD_GAME_WAVE_CD_ROOM39"  "精英·哈耳庇厄"
"DOTA_HUD_GAME_WAVE_CD_ROOM40"  "元素们的涌动·水"

"DOTA_HUD_GAME_WAVE_CD_ROOM41"  "胖子家族·食人魔棒槌手"
"DOTA_HUD_GAME_WAVE_CD_ROOM42"  "贪婪的前锋"
"DOTA_HUD_GAME_WAVE_CD_ROOM42"  "贪财的混蛋"
"DOTA_HUD_GAME_WAVE_CD_ROOM43"  "暗黑之礁的掠食者"
"DOTA_HUD_GAME_WAVE_CD_ROOM44"  "外出觅食的两只独眼巨人"
"DOTA_HUD_GAME_WAVE_CD_ROOM45"  "嘈杂的洞穴"
"DOTA_HUD_GAME_WAVE_CD_ROOM46"  "恐怖利刃的奴仆"
"DOTA_HUD_GAME_WAVE_CD_ROOM47"  "高阶近战爪牙"
"DOTA_HUD_GAME_WAVE_CD_ROOM48"  "血夜"
"DOTA_HUD_GAME_WAVE_CD_ROOM49"  "暗黑之礁的深潜者"
"DOTA_HUD_GAME_WAVE_CD_ROOM50"  "暗黑之礁的深处"
"DOTA_HUD_GAME_WAVE_CD_ROOM51"  "维度外的幻影"
"DOTA_HUD_GAME_WAVE_CD_ROOM52"  "维度外的访客"
"EggSound_FacelessVoid"                   "有一股神秘的声音传入了你的大脑……"

"DOTA_HUD_GAME_WAVE_CD_ROOM800"  "奈文摩尔，阴影之王"
"DOTA_HUD_GAME_WAVE_CD_ROOM53"  "元素们的涌动·火"
"DOTA_HUD_GAME_WAVE_CD_ROOM54"  "元素们的涌动·土"
"DOTA_HUD_GAME_WAVE_CD_ROOM55"  "孤独的熊穴漫步者"

"Challenge_select_failed"                   "苦难选择失败，当前已处于战斗状态"
"Challenge_Not_Enough_GOLD"                   "苦难选择失败，没有足够金币解锁"
"Black_Market_spell_buy_failed_mastered"                   "购买失败，因为此技能已解锁"
"Black_Market_spell_buy_failed_not_enough_good"                   "失败，因为黄金不足"
"Market_spell_buy_failed_not_enough_platinum"                   "失败，因为白金不足"
"Market_spell_buy_failed_not_enough_exp"                   "失败，因为可靠经验不足"
"buy_failed_Order_not_completed"                   "购买失败，因为上一个订单未完成"
"buy_failed_BuySpellsFailed"                   "购买失败，可能服务器不稳定，请稍后重试"
"buy_BuySpellsSuccessed"                   "购 买 成 功"
"vip_buy_failed_forever"                   "购买失败，因为已解锁永久特权"

"buy_BuyrmbOutOfTime"                   "订单超时，现在可以重新创建订单或忽略"
"DOTA_CUSTOM_BuySpellsFailed"                   "<font color=\"#d9534f\">购买技能失败，可能服务器不稳定，请稍后重试</font>"


"DOTA_CUSTOM_BuySpellsSuccess"                   "<font color=\"#d9534f\">购买技能成功，现在尝试更新游戏数据。</font>"



//技能/道具使用提示
"Spells_CustomCastError_NOT_SELF"                   "不可对自己释放"
"Spells_CustomCastError_NOT_Enemy"                   "不可对敌人释放"
"Spells_CustomCastError_NOT_Friendly"                   "不可对友军释放"
"Spells_CustomCastError_NO_hp"                           "没有足够血量释放" 
"Spells_CustomCastError_NOT_correct_spell"            "缺少正确的技能类型"
"Spells_CustomCastError_NOT_rich"            "没有足够金币"
"Spells_CustomCastError_NOT_middle"            "不是中阶"
"Spells_CustomCastError_NOT_lvl3"            "技能没升满"
"DOTA_HUB_CANT_CAST_TO_TARGET"  "目标不合法" 
"DOTA_HUB_CANT_CAST_NO_pierce_the_veil"  "你没有学习'越界'" 
"DOTA_HUB_CANT_CAST_NO_CHARGE"  "没有充能点数" 
"DOTA_HUB_CANT_CAST"  "无法释放" 

"DOTA_HUB_CANT_CAST_Giant"  "无法对巨型生物释放" 






"dota_hud_greevils_not_enough_energy"  "没有足够能量点数" 
"dota_hud_NoSpellCanBeUnlock"  "没有可以解锁奥义的技能" 
