"DOTA_Tooltip_ability_Advanced_laser_note_lv5"				"[Преломление +]Добавить единицу к числу преломлений"
"DOTA_Tooltip_ability_Advanced_aftershock_note_lv15"			"[Резонанс++] Союзники в радиусе 1000 могут вызывать афтершок (но не вызывать резонанс) при применении умения.После срабатывания время восстановления умения увеличивается на 1,5 секунды, и оно не срабатывает, когда время восстановления превышает 10 секунд."
"DOTA_Tooltip_ability_Advanced_aftershock_note_lv20"			"[Резонанс +++] Афтершок срабатывает, когда противник в радиусе 500 единиц использованияет навыки (такие же, как Резонанс++), время восстановления увеличивается на 2 секунды."
"DOTA_Tooltip_ability_Advanced_aftershock_note_base_Info"      "Базовый урон: +10/уровень<br/>Множитель силы: +0,04/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_aftershock_note_lv25_1"				"[Голос Матери-Звезды] Когда происходит землетрясение, могут быть вызваны афтершоки, но только 50%% от максимальной силы, а эффект оглушения составляет 10%% от максимальной мощности.В зависимости от того, вызывает ли само землетрясение соответствующий эффект афтершока"
"DOTA_Tooltip_ability_Advanced_aftershock_note_lv25_2"				"[Гнев природы] Дальность действия афтершока увеличена на 300. Каждый раз, когда срабатывает афтершок, две случайные точки в 200-900 единицах от заклинателя также активируют эффект афтершока, и урон полностью суммируется."
"DOTA_Tooltip_ability_Advanced_aftershock_note_lv25_3"				"[Активный период] Резонанс- больше не имеет времени восстановления."




"DOTA_Tooltip_ability_Advanced_Vengeance_Aura_note_lv5"				"[Месть+] Будет рассчитана полная сила атаки"
"DOTA_Tooltip_ability_Advanced_Vengeance_Aura_note_lv10"			"[Возвращение Короля Драконов+] Все атрибуты увеличены до 75."
"DOTA_Tooltip_ability_Advanced_Vengeance_Aura_note_lv15"			"[Темный рыцарь]Я месть, я ночь, я Бэтмен!Темной ночью сила атаки увеличивается в 1,5 раза."
"DOTA_Tooltip_ability_Advanced_Vengeance_Aura_note_lv20"			"[Бэтмен]Потому что я Бэтмен!Смерть не настоящая смерть, Дальность ореола увеличивается до полного Дальностьа карты в состоянии смерти, и предоставляются дополнительные 30 очков всех бонусов атрибутов"
"DOTA_Tooltip_ability_Advanced_Vengeance_Aura_note_base_Info"      "Бонус к силе атаки: +1,5%/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Vengeance_Aura_note_lv25_1"				"[Охота за душой] record attributes of the summons that die under the aura, summon an invincible body with twice the attributes which cannot be controlled, has no special ability attached with the original spell, lasts for 10 seconds, affected by the passive summon abilities of the aura owner, affected by the summoning enhancement but not affected by the summoning duration enhancement, can only be triggered once per second."
"DOTA_Tooltip_ability_Advanced_Vengeance_Aura_note_lv25_2"				"[Скорбная лебединая песня] enemy's scream when killed by allied unites under the aura increase aura’s abilities, within 120 seconds increase all attributes of all allied heroes under the aura by 5 points, but up to 200, affected by the positive status enhancement of the aura holder"
"DOTA_Tooltip_ability_Advanced_Vengeance_Aura_note_lv25_3"				"[Голос смерти] After death, open the channel to the underworld and radiate the breath of death to the world. As long as you are still dead, the enemies in the surrounding 2,000 radius will receive an additional 100%% damage"





"DOTA_Tooltip_ability_Advanced_Body_of_Effulgent_Beryl_note_lv5"				"[Обнуление урона от атаки +] Максимум увеличен до 15%%"
"DOTA_Tooltip_ability_Advanced_Body_of_Effulgent_Beryl_note_lv10"			"[Назад в прошлое+] вернет все здоровья"
"DOTA_Tooltip_ability_Advanced_Body_of_Effulgent_Beryl_note_lv15"			"[Расширение производительности] Эффект сопротивления увеличен на 20%, и он может действовать до тех пор, пока тип урона является физическим уроном."
"DOTA_Tooltip_ability_Advanced_Body_of_Effulgent_Beryl_note_lv20"			"[Отдача] 30% полученного урона будет возвращено противнику (в виде урона от брони)."
"DOTA_Tooltip_ability_Advanced_Body_of_Effulgent_Beryl_note_base_Info"      "Базовое сопротивление: +6/уровень<br/>Множитель Брони: +0,2/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Body_of_Effulgent_Beryl_note_lv25_1"				"[Пение опущено] Transforms into a permanent passive skill that refreshes every 10 seconds"
"DOTA_Tooltip_ability_Advanced_Body_of_Effulgent_Beryl_note_lv25_2"				"[Нерушимый домен] The spell is no longer attached to oneself, but becomes a stance. All allies in the stance can get the bonus of the spell, and the damage to the enemy outside the realm will gain 3 times block effect. The 'attack damage Null' effect will be fixed at 7.5%%"
"DOTA_Tooltip_ability_Advanced_Body_of_Effulgent_Beryl_note_lv25_3"				"[Высшая корона] increase the effect of [repulse] to 150%% and deal damage to all enemies in the 300 radius."




"DOTA_Tooltip_ability_Advanced_dragon_slave_note_lv5"				"[Метаморфоза·Один+] Последующий урон увеличен до 6%%"
"DOTA_Tooltip_ability_Advanced_dragon_slave_note_lv10"			"[Метаморфоза · 2+] Дальность действия вторичного пламени и дальность распространения увеличены на 50%%."
"DOTA_Tooltip_ability_Advanced_dragon_slave_note_lv15"			"[Обжигающий ветер] Давление ветра заставит пораженный юнит следовать за пламенем на расстоянии 500 и будет оглушен на это время."
"DOTA_Tooltip_ability_Advanced_dragon_slave_note_lv20"			"[Выносливость] Базовая дальность применения увеличена на 400, на нее влияет 2-кратный бонус к дальности применения"
"DOTA_Tooltip_ability_Advanced_dragon_slave_note_base_Info"      "Базовый урон: +15/уровень<br/>Множитель интеллекта урона: +0,1/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_dragon_slave_note_lv25_1"				"[Тайна Красной Ведьмы] Continuous use of this spell can increase the damage by 20% each time, up to a maximum of 1,000%%. After releasing other spells, the bonus effect will be lost, and the props will not have any effect."
"DOTA_Tooltip_ability_Advanced_dragon_slave_note_lv25_2"				"[Неугасимый огонь] The movement speed of the primary flame is slowed by 90%%, while the secondary flame will only move forward, reducing the required movement distance by 70%%"
"DOTA_Tooltip_ability_Advanced_dragon_slave_note_lv25_3"				"[Выжженная земля] The skill will turn the land under your feet into scorched earth, causing spell damage to enemies within a 500 range every 3 seconds. The duration of the scorched earth is permanent, but there can only be a maximum of eight units at the same time"



"DOTA_Tooltip_ability_Advanced_unrivaled_note_lv5"				"[Горечавка+]Дальность требований уменьшен до 400, увеличение урона больше не ограничивается атаками"
"DOTA_Tooltip_ability_Advanced_unrivaled_note_lv10"			"[Отчаянный+]Требуемое здоровье увеличено до 30%%, а все атрибуты увеличены до 70"
"DOTA_Tooltip_ability_Advanced_unrivaled_note_lv15"			"[Молния] Атака будет распространяться на 600 юнитов позади цели (встроенное время восстановления 1 секунда)"
"DOTA_Tooltip_ability_Advanced_unrivaled_note_lv20"			"[Молниеносная вспышка+] Время восстановления уменьшено до 0,5 секунды."
"DOTA_Tooltip_ability_Advanced_unrivaled_note_base_Info"      "Бонус к скорости атаки: +1%%/уровень<br/>Бонус к скорости передвижения: +1%%/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_unrivaled_note_lv25_1"				"[Прорыв] Эффекты горечавки и отчаяния больше не имеют ограничений, бонус первого увеличен до 50%, а бонус второго удвоен"
"DOTA_Tooltip_ability_Advanced_unrivaled_note_lv25_2"				"[Вечный] превратился в пассивное умение, а пассивный эффект умения постоянный"
"DOTA_Tooltip_ability_Advanced_unrivaled_note_lv25_3"				"[Копье прибытия Оникса] -Громовержец» превращается в удар на 360°, а время восстановления сокращается до 0,2 секунды."
"DOTA_Tooltip_ability_Advanced_Dragons_Lighting_note_lv5"				"[[Цепной гром дракона+]Второстепенная цель плюс одна"
"DOTA_Tooltip_ability_Advanced_Dragons_Lighting_note_lv10"			"[Магическое проникновение +] Эффект снижения сопротивления магии увеличен на 35%% (включая максимальное значение)"
"DOTA_Tooltip_ability_Advanced_Dragons_Lighting_note_lv15"			"[Разрушение молнии] изменено с добавления разряда молнии каждые 50 юнитов на каждые 35 юнитов."
"DOTA_Tooltip_ability_Advanced_Dragons_Lighting_note_lv20"			"[Заряд] Каждая молния будет бить вас током, уменьшая время восстановления этого умения на 1%% от текущего времени восстановления."
"DOTA_Tooltip_ability_Advanced_Dragons_Lighting_note_base_Info"      "Базовый урон: +30/уровень<br/>Множитель интеллекта урона: +0,3/уровень<br/>Дополнительный урон на 50 юнитов Множитель интеллекта: +0,01/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Dragons_Lighting_note_lv25_1"				"[Гром Падения Баала] Lightning no longer takes caster as the starting point, but falls from high altitude. The height is the square root of 100*x, x= INT of caster. If it is less than its normal states casting distance, it will take the basic value. Affected by the bonus cast range, at the same time, the maximum number of small lightning bolt will be increased to 200, and the falling main thunder will split into 8 branches"
"DOTA_Tooltip_ability_Advanced_Dragons_Lighting_note_lv25_2"				"[Громовая пушка]Spell cooldown time reduced by 50%%, at the same time, small lightning damage increases by 100%% and will be linked to three random units within the 500 range around the target"
"DOTA_Tooltip_ability_Advanced_Dragons_Lighting_note_lv25_3"				"[Ten thousand thunder array] Small lightning can be generated passively,Double the effect of 'Charege'.Generate lightning storms around, attack up to 10 enemies within 2000 range every 2 seconds, and the damage caused by this effect is 40%% of caster max mana"


"DOTA_Tooltip_ability_Advanced_laguna_blade_note_lv5"				"[Прямой удар богини+] Урон увеличен до 50%%"
"DOTA_Tooltip_ability_Advanced_laguna_blade_note_lv10"			"[Ящик души+]Максимальный урон увеличен до интеллекта *17"
"DOTA_Tooltip_ability_Advanced_laguna_blade_note_lv15"			"[Семь звезд и семь звеньев] Огненный убийца Бога отскакивает семь раз (700 юнитов)"
"DOTA_Tooltip_ability_Advanced_laguna_blade_note_lv20"			"[Удар Разрушителя]Увеличивает урон на 50% при столкновении с одиночным врагом (когда не срабатывают Семь Звезд и даже Семерка)"
"DOTA_Tooltip_ability_Advanced_laguna_blade_note_base_Info"      "Базовый урон: +60/уровень<br/>Множитель интеллекта урона: +0,5/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_laguna_blade_note_lv25_1"				"[Атомный удар]Сверхмощная энергия уничтожит цель, а пораженный юнит вызовет мгновенную смерть, если значение здоровья меньше, чем удвоенное количество урона до получения урона (на это значение влияет только улучшение навыка)."
"DOTA_Tooltip_ability_Advanced_laguna_blade_note_lv25_2"				"[Сила всего] Бонус -Ящика души- по умолчанию максимален, при освобождении он поглощает энергию окружающих союзников, увеличивая урон Divine Slash (сумма силы атаки героя + сумма силы атаки до 10 призванных юнитов)."
"DOTA_Tooltip_ability_Advanced_laguna_blade_note_lv25_3"				"[Ядро души] теряет все эффекты, кроме -Ящика души-, превращает его в пассивный навык, генерирует три энергетических ядра для перемещения вокруг себя, энергетическое ядро ​​будет искать врагов в пределах 1000 от себя, наносить им урон Божественным ударом, а затем входит в 10-секундный кулдаун (независимо от уменьшения кулдауна)."

"DOTA_Tooltip_ability_Advanced_pulse_nova_note_lv5"				"[Бесконечное мучение+] Эффект увеличения расхода маны уменьшен до 0,6%%/стак"
"DOTA_Tooltip_ability_Advanced_pulse_nova_note_lv10"			"[Поглощение энергии] 50% повышенного интеллекта больше не учитываются в расчете расхода магии"
"DOTA_Tooltip_ability_Advanced_pulse_nova_note_lv15"			"[Расширенное] Каждый стак [Бесконечные мучения] увеличивает Дальность действия на 5, но не более чем на 1000."
"DOTA_Tooltip_ability_Advanced_pulse_nova_note_lv20"			"[Ничтожество] 25%% каждый раз не нужно потреблять магию"
"DOTA_Tooltip_ability_Advanced_pulse_nova_note_base_Info"      "оБазовый урон: +4/уровень<br/>Множитель интеллекта урона: +0,04/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_pulse_nova_note_lv25_1"				"[Духовный пульс]Enemies who suffer pulse damage have a 10%% chance to force them into nihility, can't attack or take physical damage, but magic resistance is reduced by 100%% for 3 seconds, the same unit has 5 seconds of cooldown time"
"DOTA_Tooltip_ability_Advanced_pulse_nova_note_lv25_2"				"[All things Perish]The number of enemies in the area * 2 * damage will be calculated, then cause damage to a single enemy and consume a cumulative value equal to its current HP."
"DOTA_Tooltip_ability_Advanced_pulse_nova_note_lv25_3"				"[Эмиссар времени и пространства]The INT limit of 'Energy Absorption' increase to 1000, but the bonus value exceeding 200 will not be reduced (mana cost)"



"DOTA_Tooltip_ability_Advanced_lightning_storm_note_lv5"				"[Заряженный удар+] увеличение урона увеличено до 11%%"
"DOTA_Tooltip_ability_Advanced_lightning_storm_note_lv10"			"[Поглощение энергии] длительность увеличена до 45 секунд."
"DOTA_Tooltip_ability_Advanced_lightning_storm_note_lv15"			"[Экстремально] Эффект замедления увеличен до 999%%"
"DOTA_Tooltip_ability_Advanced_lightning_storm_note_lv20"			"[Стихийное бешенство] Повторные удары можно выполнять, когда нет других врагов, но они наносят только 30%% урона."
"DOTA_Tooltip_ability_Advanced_lightning_storm_note_base_Info"      "Базовый урон: +10/уровень<br/>Множитель интеллекта урона: +0,08/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_lightning_storm_note_lv25_1"				"[Magic charge]You can turn on automatic casting. When there is no bounce chances, you can consume 100 mana to make it bounce again (up to 35 times). This effect can be turned off at any time"
"DOTA_Tooltip_ability_Advanced_lightning_storm_note_lv25_2"				"[Entropy increase] Whenever you cause spell damage (except this ability), as long as the damage is greater than 50, you can attach a single lightning storm to the target, and the same target can trigger at most once in 3 seconds"
"DOTA_Tooltip_ability_Advanced_lightning_storm_note_lv25_3"				"[Global Storm] Change to passive abiltiy. You can auto cast to an enemy randomly in the surrounding 1000 range every 500 distances move, but it can be triggered at most once every 2.5 seconds"

"DOTA_Tooltip_ability_Advanced_frost_armor_note_lv5"				"[Трансформация +] Увеличен до 3%% от максимального эффекта восстановления здоровья"
"DOTA_Tooltip_ability_Advanced_frost_armor_note_lv10"			"[Продолжение] Длительность увеличена до 12 секунд."
"DOTA_Tooltip_ability_Advanced_frost_armor_note_lv15"			"[Убежище] Обеспечивает дополнительное сопротивление магии на 35%%."
"DOTA_Tooltip_ability_Advanced_frost_armor_note_lv20"			"[Поглощение] Каждый раз, когда мороз, выпущенный в секунду, воздействует на юнита, он восстанавливает 10 маны владельца состояния."
"DOTA_Tooltip_ability_Advanced_frost_armor_note_base_Info"      "Уменьшение урона от физических атак: +0,7%%/уровень<br/>Базовый урон: +4/уровень<br/>Множитель интеллекта: +0,02/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_frost_armor_note_lv25_1"				"[[Алмазный Куллинан]increase 500 armor, and at the end of the buff,cause  magic damage (=200%% of physical damage taken duration the buff) to enemies in the surrounding 600 range"
"DOTA_Tooltip_ability_Advanced_frost_armor_note_lv25_2"				"[Big Slow]During the duration of the buff, whenever the enemy attacks the target, there is a 10%% chance to reduce the attack speed by 1000, lasts for 2 seconds"
"DOTA_Tooltip_ability_Advanced_frost_armor_note_lv25_3"				"[Мертвый мороз]Turn into a passive ability, and automatically apply the spell effect to a random friend within 1500 every 2 seconds, giving priority to heroes"


"DOTA_Tooltip_ability_Advanced_marksmanship_note_lv5"				"[Точный удар+] шанс срабатывания увеличен до 45%%"
"DOTA_Tooltip_ability_Advanced_marksmanship_note_lv10"			"[Серебряная Тень Чжоу+] Базовый шанс срабатывания увеличен до 14%%, а шанс срабатывания дополнительных атак снижен на 60%%"
"DOTA_Tooltip_ability_Advanced_marksmanship_note_lv15"			"Когда [Ледяное сердце] вызывает дополнительный урон, есть 20%% шанс сделать эту атаку двойной атакой. (Дополнительное учреждение может снова активировать этот эффект)"
"DOTA_Tooltip_ability_Advanced_marksmanship_note_lv20"			"[Царство безумия] Увеличьте ловкость текущего уровня героя*2"
"DOTA_Tooltip_ability_Advanced_marksmanship_note_base_Info"      "Точный удар: +10/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_marksmanship_note_lv25_1"				"[Царство безумца]When attacking the same enemy, each attack will increase the attack damage by 2%% to 500%% at most"
"DOTA_Tooltip_ability_Advanced_marksmanship_note_lv25_2"				"[Воспоминание о ветре]'Dread Retribution' unlock passive effect, five arrows are launched every second as long as the target of the last attack is still alive and can be seen. At the same time, the percentage of inherited full attack damege will be increased to 70%%."
"DOTA_Tooltip_ability_Advanced_marksmanship_note_lv25_3"				"[Наследие короля эльфов]When it is more than 500 away from the target, it must triggr erextra damage"




"DOTA_Tooltip_ability_Advanced_Arcane_Aura_note_lv5"				"[Мастерство волшебства+] Эффект уменьшения потребления увеличен до 30%%"
"DOTA_Tooltip_ability_Advanced_Arcane_Aura_note_lv10"			"[Магическое преобразование+]Эффект конверсии увеличен до 3,3%%"
"DOTA_Tooltip_ability_Advanced_Arcane_Aura_note_lv15"			"[Концентрация] Обеспечивает дополнительное повышение навыка на 15%% (в 1,5 раза для себя)"
"DOTA_Tooltip_ability_Advanced_Arcane_Aura_note_lv20"			"[Общая энергия] Владелец ореола может излучать небольшой ореол, который дает 10%% улучшения навыков союзникам в радиусе 500 (без усиления)"
"DOTA_Tooltip_ability_Advanced_Arcane_Aura_note_base_Info"      "Бонус восстановления маны: +0,8/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Arcane_Aura_note_lv25_1"				"[Семя Середины Зимы] When casting spells, allies under the aura can accumulate chill on the owner of the aura, equal to the cooldown of the spell. Release when chill value reaches 100, and frozen all enemies within 1,000 range for 5 seconds (affected by status resistance and negative status enhancement, but mini duration is 0.5 seconds). Frozen enemies will receive an additional 100%% magic damage. 5-second cooldown, and does not accumulate cold when it cools down."
"DOTA_Tooltip_ability_Advanced_Arcane_Aura_note_lv25_2"				"[Extreme of channelling] Allies under the aura will no longer have a spell forward swing."
"DOTA_Tooltip_ability_Advanced_Arcane_Aura_note_lv25_3"				"[Тайное пробуждение] The spell damage of allies under the aura has a 15%% chance to triple, and if it is not triggered, it has a 20%% chance to double."



"DOTA_Tooltip_ability_Advanced_overpower_note_lv5"				"[Выплеск ярости +] теперь увеличивается каждые 1,4 секунды."
"DOTA_Tooltip_ability_Advanced_overpower_note_lv10"			"Шанс срабатывания [Выплеска ярости+] увеличен до 35%%"
"DOTA_Tooltip_ability_Advanced_overpower_note_lv15"			"[Маниакальный] Каждый уровень эффекта увеличивает урон от атаки на 10 единиц."
"DOTA_Tooltip_ability_Advanced_overpower_note_lv20"			"[Выносливость] эффект будет увеличиваться на 0,2 секунды в секунду, когда умение перезаряжается."
"DOTA_Tooltip_ability_Advanced_overpower_note_base_Info"      "Скорость атаки: +20/уровень<br/>Время атаки: +0,5/уровень<br/>Длительность: +0,5 сек/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_overpower_note_lv25_1"				"[перегрузка] The number of attacks is doubled, and the attack speed will be increased to the limit."
"DOTA_Tooltip_ability_Advanced_overpower_note_lv25_2"				"[Древняя сила] Every time the spell is released, gain the attack damage of up to 10 summons of allied heroes in 1,000 radius, 40%% of which is stored, attach attack damage equal to the average of the first 8 storage. Initial value is 0."
"DOTA_Tooltip_ability_Advanced_overpower_note_lv25_3"				"[Permanent resident] spell becomes permanent duration. The status will not be removed even if the energy points are exhausted. At the same time, the stacking speed per second is doubled, but the maximum effective stacks of 'manic' are limited to 500."



"DOTA_Tooltip_ability_Advanced_Anchor_Smash_note_lv5"				"[Критический удар+] Бонус к силе атаки увеличен на 100 единиц."
"DOTA_Tooltip_ability_Advanced_Anchor_Smash_note_lv10"			"[Безумие+] Шанс срабатывания увеличен до 7%%, а время КД каждого срабатывания уменьшено до 1 секунды."
"DOTA_Tooltip_ability_Advanced_Anchor_Smash_note_lv15"			"[Прилив] Скорость перезарядки навыка изменена с -30%%-200%% маятника."
"DOTA_Tooltip_ability_Advanced_Anchor_Smash_note_lv20"			"[Сломанная броня] Уменьшает броню затронутых юнитов на 1,5, а время независимого расчета длится 15 секунд (не зависит от сопротивления эффектам и отрицательного усиления эффекта, не может быть развеян)"
"DOTA_Tooltip_ability_Advanced_Anchor_Smash_note_base_Info"      "Бонус атаки: +6/уровень<br/>STR index:+0.1/уровень"
