

"addon_game_name"	"Героический Путь"
"DOTA_HUD_playerInfowindowTitle"  "Персональная информация"
"DOTA_HUD_VIPInfo_Button"        "Existing privileges"
"DOTA_HUD_playerName"                   "Имя игрока:"
"DOTA_HUD_firstGameTime"                   "Первое время игры:"
"DOTA_HUD_vip_info_endday"                   "Дата истечения:"

"DOTA_NOW_WAVE"  "Текущая волна:"
"DOTA_HUD_DropSelectTitle_message"                   "Награды за снаряжение будут генерировать 5 предметов снаряжения, а именно: Физическая защита от заклинаний Вспомогательное специальное "

"Damage_Dealt"   "Вызвать некоторые повреждения:"
"Damage_Taken"   "Повредить:"
"Damage_Healed"   "Вызывает Исцеление (Эффективное):"

"DOTA_CUSTOM_Game_Start_info_bonus"   "Сообщение: Присоединяйтесь к группе ДИСКОРДА , чтобы получать различные награды от промокодов (новички могут разблокировать 20 умений в подарок)"
"DOTA_CUSTOM_Game_Start_info"   "Это лишь начальная версия РУ перевода. Помощь в оказании перевода мы можете написать в дискорд канале"

"DOTA_CUSTOM_Wave_Start_info1"   "Готовимся к раунду..."
"DOTA_CUSTOM_Wave_Start_info2"   "Начало раунда"
"DOTA_CUSTOM_Wave_Start_reset"   "Раунд давно не заканчивался, возможно баг слота для карт, и все монстры перенесены в середину"

"DOTA_CUSTOM_LoginFailed"                   "<font color=\"#d9534f\">Не удалось передать информацию о сервере, текущий сервер может быть нестабильным, попробуйте снова войти в систему через 5 секунд.</font>"
"DOTA_CUSTOM_LoginFailed_all"                   "<font color=\"#d9534f\">Если игра не удалась из-за того, что некоторым игрокам не удалось войти, текущий игровой раунд не будет рассчитан для получения награды.</font>"

"DOTA_CUSTOM_LoginSuccess"                   "<font color=\"#d9534f\">Данные игрока получены.</font>"
"DOTA_CUSTOM_fail_login_info"                   "<font color=\"#d9534f\">Не удалось получить данные об игроке. Повторите попытку.</font>"

"DOTA_CUSTOM_PlayerGetSpellsBook"                   "Получить книгу навыков:"
"DOTA_CUSTOM_BONUS_INFO_EXP"                   "Текущий опыт:"
"DOTA_CUSTOM_BONUS_INFO_max_level"                   "Навык заполнен"
"DOTA_CUSTOM_BONUS_INFO_max_level_info"                   "Полностью выровненные навыки будут автоматически преобразованы в надежный опыт."
"DOTA_CUSTOM_BONUS_INFO_bonus_EXP"                   "Награда опыта:"
"DOTA_CUSTOM_BONUS_INFO_bonus_gold"                   "Награда золота:"
"DOTA_CUSTOM_NOPlayerGetSpellsBook"                   "Нет бонуса книги навыков"
"DOTA_CUSTOM_UpdateFailed"                   "<font color=\"#d9534f\">Не удалось обновить награду за игровое прохождение, сервер может быть нестабильным, и через 5 секунд будет произведена повторная попытка обновления.</font>"
"DOTA_CUSTOM_UpdateSuccess"                   "{s:player_name}<font color=\"#d9534f\">Награда за расчет в игре была успешно обновлена, и теперь вы можете выйти из игры.</font>"
"DOTA_CUSTOM_Update_wait"                   "{s:player_name}Waiting for settlement..."


"DOTA_CUSTOM_UpdateSuccess_gift"                   "<font color=\"#d9534f\">Подарочная посылка успешно получена</font>"
"DOTA_CUSTOM_UpdateFail_gift"                   "<font color=\"#d9534f\">Подарочный пакет не удалось получить, сервер может быть нестабильным.</font>"
"DOTA_CUSTOM_Upgradefailed"                   "<font color=\"#d9534f\">Не удалось обновить навык, возможно, сервер нестабилен или данные недействительны.</font>"
"DOTA_CUSTOM_Upgradefailed_half"                   "<font color=\"#d9534f\">Прокачка навыка проходит успешно, но обновление данных не удается.Возможно, сервер работает нестабильно.</font>"

"DOTA_CUSTOM_Upgradefailed_data_error"                   "<font color=\"#d9534f\">Прокачка навыка не удалась, и произошла ошибка обработки данных, возможно, это полноуровневый навык.</font>"
"DOTA_CUSTOM_Upgradefailed_unknow_error"                   "<font color=\"#d9534f\">Обновление навыка не удалось, и была отправлена ​​неизвестная ошибка.</font>"
"DOTA_CUSTOM_UpgradeSuccess"                   "<font color=\"#5bc0de\">Успех повышения уровня</font>"



"DOTA_HUD_difficulty_select_1"                   "Easy"
"DOTA_HUD_difficulty_select_2"                   "Normal"
"DOTA_HUD_difficulty_select_3"                   "Elite"
"DOTA_HUD_difficulty_select_4"                   "Impossible"
"DOTA_HUD_difficulty_select_5"                   "Suffering Trials"
"DOTA_HUD_difficulty_select_6"                   "Endless Trials"
"DOTA_HUD_difficulty_select_7"                   "Fast Furious"
"DOTA_HUD_difficulty_select_8"                   "Endless Suffering"
"DOTA_HUD_difficulty_select_9"                "FellOmen: WAVE"

"DOTA_HUD_playerChallengeMenuwindowTitle"                   "Терпеть больше страданий"

"DOTA_HUD_Difficulty_select_1_info"                   "Сложность 1: здоровье монстра уменьшится на 28%, начальная базовая сила атаки уменьшится на 30%, а время восстановления умения увеличится на 35%. <br/><br/>Всего волн 10."
"DOTA_HUD_difficulty_select_2_info"                   "Сложность 2: здоровье монстра уменьшится на 10%, начальная базовая сила атаки уменьшится на 10%, а время восстановления умения увеличится на 10%. <br/><br/>Всего волн 20."
"DOTA_HUD_difficulty_select_3_info"                   "Сложность 3: здоровье монстра увеличится на 20%, начальная базовая сила атаки увеличится на 20%. Интервал между спауном монстров -20%, а БОСС активирует элитные умения. <br/><br/>Всего волн 20."
"DOTA_HUD_difficulty_select_4_info"                   "Сложность 4: здоровье монстра увеличится на 50%, начальная базовая сила атаки увеличится на 40%, а время восстановления навыка будет уменьшено на 30%. Интервал появления -40%, БОСС активирует навыки ада. <br/><br/>Всего волн 20 волн<br/>Открой путь страданий"

"DOTA_HUD_difficulty_select_5_info"                   "Сложность 5: Дикие монстры получают увеличение урона на 20%, снижение урона на 15%, получат дополнительные входы, Юниты могут складывать до 2 входов, и BOSS или элитные юниты определенно получат максимальный вход. 20% шанс появления скрытых уровней"
"DOTA_HUD_difficulty_select_6_info"                   "Сложность 6: Наследуя предыдущую сложность, дикие монстры получают на 50% больше урона, на 30% меньше урона, а максимальное количество элементов для юнитов — 4. Разблокируйте -Бесконечную сложность- после прохождения всех уровней"
"DOTA_HUD_difficulty_select_7_info"                   "Сложность 7 гоночной таблицы лидеров.У диких монстров наносимый урон увеличивается на 80 % и на 30 % снижается , а максимальное количество юнитов в стаке – 5. Не будет бесконечных раундов, должны быть скрытые раунды, а коэффициент увеличения вознаграждения немного выше, чем у N6."
"DOTA_HUD_difficulty_select_8_info"                   "Сложность Бесконечный 8: таблицы лидеров.У диких монстров наносимый урон увеличивается на 80 % и снижается на 30 %, а максимальное количество юнитов в стаке – 5. Скрытых раундов не будет, а коэффициент увеличения вознаграждения немного выше, чем у N6."
"DOTA_HUD_difficulty_select_9_info"                   "<font color=\"#f0ad4e\">Лвл АДА：</font><br>После прохождения уровня прогресс АДА всех игроков увеличится на 2, но не превысит текущую Лвл +1., но не превысит текущую сложность плюс.финальный раунд равен 25,и есть бесконечные раунды<br><font color=\"#f0ad4e\">Специальная механика:</font>Каждый уровень реинкарнации будет увеличивать различные атрибуты монстра на 5%.Каждые 8 ​​слоев реинкарнации увеличиваются на 1 фазу, и каждая фаза будет давать монстру общий статус бафа. Каждые 1,5 фазы все игроки будут получать бафф (или добавлять дебаф противнику). Каждая дополнительная полуфаза (4 слоя) будет увеличивать значение статуса.Изначально вы получите(количество слоев реинкарнации*2+5) очков свободно выделенных очков атрибутов.Вы можете отключить один злой аспект и один полезный аспект соответственно<br><font color=\"#f0ad4e\">Механизм реинкарнации:</font>Уровни реинкарнации сбрасываются каждый месяц,но сохраняют 40%.Стофазовый статус будет генерироваться случайным образом каждый месяц, давая бонусы и дебаффы.<br><font color=\"#f0ad4e\">бонусная система:</font>Производится необработанный камень Аганим, который войдет в архив игрока и его можно будет забрать в игре, чем выше количество слоев, тем выше вероятность и количество.reliable exp и aurum награды следуют за сложностью таблицы лидеров, а затем на этой основе*(1+Самсара*0,015).В зависимости от количества игроков будут затронуты базовые баффы монстров(исключая статус Аспектов). 1-5 игроков соответствуют числовым соотношениям (0,5, 0,6, 0,7, 0,85, 1), например, в случае 1 игрока монстры на десятом этаже получают только 50%*0,5=25% дополнительных атрибутов.Его можно активировать только тогда, когда в команде нет начинающих игроков."




"DOTA_HUD_Challenge_level"                   "Challenge level"
"DOTA_HUD_Challenge_level1"                   "Easy"
"DOTA_HUD_Challenge_level2"                   "Normal"
"DOTA_HUD_Challenge_level3"                   "Elite"
"DOTA_HUD_Challenge_level4"                   "Difficult"
"DOTA_HUD_Challenge_level5"                   "Impossible"


"Player_Challenge1"                   "Определенный игрок несет больше страданий, и следующий бой будет еще сложнее..."
"Player_Challenge2"                   "Больше страданий - больше выгода..."
"Player_Challenge3"                   "Может быть, завтра будет лучше после всех невзгод…"
"Player_Challenge4"                   "Континент окутан темными тучами, и грядут новые страдания..."
"Player_Challenge5"                   "Перед лицом интересов большее страдание — всего лишь ступенька..."



"DOTA_HUD_game_info_pre"   "Зайти в телепорт, чтобы начать игру"
"DOTA_HUD_game_info_ENDLESS_WAVE"   "Охранники убиты:"
"DOTA_HUD_GAME_WAVE_NEXT_INFO"  "следующий раунд:"
"DOTA_HUD_GAME_WAVE_CD_ROOM1"  "Привратник"
"DOTA_HUD_GAME_WAVE_CD_ROOM2"  "Авангард голбинов"
"DOTA_HUD_GAME_WAVE_CD_ROOM3"  "Фурболг Пятицветный"
"DOTA_HUD_GAME_WAVE_CD_ROOM4"  "Пауки в джунглях"
"DOTA_HUD_GAME_WAVE_CD_ROOM5"  "Сын Элиты Барнок"
"DOTA_HUD_GAME_WAVE_CD_ROOM6"  "Слуги среднего класса"
"DOTA_HUD_GAME_WAVE_CD_ROOM7"  "Семья кобольдов"
"DOTA_HUD_GAME_WAVE_CD_ROOM8"  "Легион Громошкуров"
"DOTA_HUD_GAME_WAVE_CD_ROOM9"  "Проблемный Ио "
"DOTA_HUD_GAME_WAVE_CD_ROOM10"  "Пролог Привратник Барнок"
"DOTA_HUD_GAME_WAVE_CD_ROOM911"  "Убийца в темной ночи"
"DOTA_HUD_GAME_WAVE_CD_ROOM912"  "Темный рыцарь"
"DOTA_HUD_GAME_WAVE_CD_ROOM913"  "Старейшина в лесу"
"DOTA_HUD_GAME_WAVE_CD_ROOM914"  "Волки под лунным светом"
"DOTA_HUD_GAME_WAVE_CD_ROOM15"  "Дочь Элиты Фарнер"
"DOTA_HUD_GAME_WAVE_CD_ROOM916"  "Волшебник природы"
"DOTA_HUD_GAME_WAVE_CD_ROOM917"  "Старшая дриада"
"DOTA_HUD_GAME_WAVE_CD_ROOM918"  "Древний камень"
"DOTA_HUD_GAME_WAVE_CD_ROOM19"  "Тренировка Топора"
"DOTA_HUD_GAME_WAVE_CD_ROOM920"  "Дочь природы Фарнер"
"DOTA_HUD_GAME_WAVE_CD_ROOM21"  "Стихии Воды"
"DOTA_HUD_GAME_WAVE_CD_ROOM22"  "Стихии Огня"
"DOTA_HUD_GAME_WAVE_CD_ROOM23"  "Стихии Ветра"
"DOTA_HUD_GAME_WAVE_CD_ROOM24"  "Стихия Тьмы"
"DOTA_HUD_GAME_WAVE_CD_ROOM25"  "Элита - Меллонд"
"DOTA_HUD_GAME_WAVE_CD_ROOM26"  "Стихия Земли"
"DOTA_HUD_GAME_WAVE_CD_ROOM27"  "Стихия Грома"
"DOTA_HUD_GAME_WAVE_CD_ROOM28"  "Стихия Льда"
"DOTA_HUD_GAME_WAVE_CD_ROOM29"  "Подарок природы"
"DOTA_HUD_GAME_WAVE_CD_ROOM30"  "Битва скрытого уровня элементалей"
"DOTA_HUD_GAME_WAVE_CD_ROOM31"  "Брейкер Магнус"
"DOTA_HUD_GAME_WAVE_CD_ROOM32"  "Мозговой червь"
"DOTA_HUD_GAME_WAVE_CD_ROOM33"  "Страж тумана"
"DOTA_HUD_GAME_WAVE_CD_ROOM34"  "Скрытый Оскверненные миньоны"
"DOTA_HUD_GAME_WAVE_CD_ROOM35"  "Скрытый Армия воров"
"DOTA_HUD_GAME_WAVE_CD_ROOM36"  "Скрытый·Лидер Легиона"
"DOTA_HUD_GAME_WAVE_CD_ROOM37"  "Скрытый·Призраки"
"DOTA_HUD_playerGameBonusMenuwindow"  "Игровое прохождение"
"no_spell_map"  "Не удалось получить информацию об игроке, возможно, сервер нестабилен, повторите попытку позже."
"DOTA_HUD_GAME_WAVE_CD_ROOM38"  "Скрытый·Происхождение пламени"
"DOTA_HUD_GAME_WAVE_CD_ROOM39"  "Elite·Harpy"
"DOTA_HUD_GAME_WAVE_CD_ROOM40"  "The surge of the elements· Water"
"DOTA_HUD_GAME_WAVE_CD_ROOM41"  "Fat family· Ogre the Mallet"
"DOTA_HUD_GAME_WAVE_CD_ROOM42"  "Greedy striker"
"DOTA_HUD_GAME_WAVE_CD_ROOM42"  "Slave of the  Terror Blade"
"DOTA_HUD_GAME_WAVE_CD_ROOM43"  "Predator in the Dark Reef"
"DOTA_HUD_GAME_WAVE_CD_ROOM44"  "Foraging Cyclops"
"DOTA_HUD_GAME_WAVE_CD_ROOM45"  "Noisy Cave"
"DOTA_HUD_GAME_WAVE_CD_ROOM46"  "Terror Blade's minions"
"DOTA_HUD_GAME_WAVE_CD_ROOM47"  "Advanced melee minions"
"DOTA_HUD_GAME_WAVE_CD_ROOM48"  "Bloody Night"
"DOTA_HUD_GAME_WAVE_CD_ROOM49"  "Deep-Sea Diving of the the Dark Reef"
"DOTA_HUD_GAME_WAVE_CD_ROOM50"  "The depths of the the Dark Reef"
"DOTA_HUD_GAME_WAVE_CD_ROOM51"  "Phantom of the Claszian"
"DOTA_HUD_GAME_WAVE_CD_ROOM52"  "Visitors of the Claszian"
"DOTA_HUD_GAME_WAVE_CD_ROOM55"  "Lonely Lair Ranger"
"EggSound_FacelessVoid"                   "There is a mysterious voice coming into your brain……"

"DOTA_HUD_GAME_WAVE_CD_ROOM53"  "The surge of the elements· Fire"
"DOTA_HUD_GAME_WAVE_CD_ROOM54"  "The surge of the elements· Earth"

"Challenge_select_failed"                   "Опция страдания не удалась, сейчас в боевом режиме"
"Challenge_Not_Enough_GOLD"                   "Ошибка выбора страданий, недостаточно золотых монет для разблокировки"
"Black_Market_spell_buy_failed_mastered"                   "Покупка не удалась, так как этот навык уже разблокирован"
"Black_Market_spell_buy_failed_not_enough_good"                   "Покупка не удалась, так как не хватило золота"
"Market_spell_buy_failed_not_enough_platinum"                   "Покупка не удалась из-за недостаточного количества платины"
"Market_spell_buy_failed_not_enough_exp"                   "Покупка не удалась из-за недостаточного количества Опыта"
"buy_failed_Order_not_completed"                   "Покупка не удалась, так как предыдущий заказ не был выполнен"
"buy_failed_BuySpellsFailed"                   "Покупка не удалась, сервер может работать нестабильно, повторите попытку позже"
"buy_BuySpellsSuccessed"                   "Удачная покупка"
"vip_buy_failed_forever"                   "Не удалось совершить покупку, поскольку были разблокированы постоянные бонусы."
"buy_BuyrmbOutOfTime"                   "Срок ожидания заказа истек, теперь заказ можно создать заново или проигнорировать"
"DOTA_CUSTOM_BuySpellsFailed"                   "<font color=\"#d9534f\">Не удалось приобрести навыки, сервер может работать нестабильно, повторите попытку позже</font>"


"DOTA_CUSTOM_BuySpellsSuccess"                   "<font color=\"#d9534f\">Умение успешно приобретено, теперь попробуйте обновить данные игры.</font>"




"Spells_CustomCastError_NOT_SELF"                   "Нельзя применить к себе"
"Spells_CustomCastError_NOT_Enemy"                   "Нельзя применять к врагам"
"Spells_CustomCastError_NOT_Friendly"                   "Can not cast to a ally"

"DOTA_HUB_CANT_CAST_TO_TARGET"  "Цель незаконна" 
"DOTA_HUB_CANT_CAST_NO_pierce_the_veil"  "You didn't learn the 'Pierce the Veil'"
"DOTA_HUB_CANT_CAST_NO_CHARGE"  "No Charge" 
"DOTA_HUB_CANT_CAST"  "Unable To Cast" 



"dota_hud_greevils_not_enough_energy"  "Недостаточно очков энергии" 
"dota_hud_NoSpellCanBeUnlock"  "Нет навыка, который может раскрыть тайну" 
"dota_hud_NoUnlockRock"  "Это не здорово" 
"DOTA_CUSTOM_Wave_force_start"  "Принудительный старт раунда"


"DOTA_CUSTOM_Wave_force_start_count"  "Прогресс принудительного запуска раунда::"
"DOTA_HUD_game_info_difficult"  "Подождите, чтобы выбрать сложность"
"DOTA_HUD_game_difficult"  "Трудность:"
"DOTA_HUD_CheckBonusButton_Button"  "Query reward"

"DOTA_HUB_Start_create_bonus"  "Игра окончена, создается награда за прохождение..." 


"DOTA_HUD_ReRollBonus" "Израсходуйте 10 очков, чтобы сохранить золото для повторного случайного вознаграждения за предмет, оставшееся время повторного следования:{s:reRollCount}"
"DOTA_HUD_ReRollChallenge" "Потратьте 10 очков, чтобы накопить золото, чтобы перераспределить страдания,  оставшиеся повторные разы:{s:reRollCount}"


"DOTA_HUD_Bonus_gold"       "Bonus Aurum:{s:bonus}"
"DOTA_HUD_Bonus_exp"        "Bonus Reliable experience:{s:bonus}"
"DOTA_HUD_Bonus_platinum"   "Bonus Platinum:{s:bonus}"



"DOTA_HUD_ReRollItemDone"                   "Восстановление выполнено успешно"
"DOTA_HUD_ReRollItemFail"                   "Не удалось восстановить (возможно, сервер нестабилен)"
